applicant
astounding
automation
commission
component
comprehend
consultancy
corporate
correlation
criterion(criteria)
designate
dilemma
embody
envisage
evaluate
fallacy
foolproof
imminent
innovation
intrusion
justify
lucrative
margin
market
misguide
motive
novice
obtacle
orientate
outcome
outperform
overestimate
overtime
postpone
pre-empt
premise
rationale
recruitment
redundancy
renowned
scheme
seize
setting
strategy
subsistence
transition
transparent
ubiquiitous
undertake
workforce


archaic
archeology
artefact
artifact
be passed on to
carve
cemetry
civilisation/civilzation
congregate
crisis
custom
date
depiction
encircle
enigmatic
excavate
expedition
extract
geoglyph
historic
historical
inhabitant
inscription
landmark
millennium/millenia
monument
mound
mythology
native
navigation
phenomenon
possession
prehistoric
preserve
quay
reign
renaissance
resemble
revolutionary
ritual
settlement
site
succession
supersede
supplement
terrain
testament
traverse
treasure
warship



display/exhibit
illustrate
demonstration
exemplify
expression
sculpt
inspire
piece
design
dimension
impress
stir
competition
aesthetic
handout
artistry
inscriptioncontinuity
aspect
texture
portrait
portrayal
attach
glyph
code
material
gleam
decorate
refurbish
layout
elegant
vague
painitings
ambiguous
appealing
censor
play
master
resonate
glimpse
astonish
stack
intricate
archetype
literary
stylize
statue
depict

Leisure

vacate
activity
vehicles
brief
pleasant
passionate
explore
therapeutic
stream
immerse
geaway
insight
lifetime
spare
pension
tourist attractions
cater for
canteen
sociable
lifestyle
frolic
go
restful
leisure centre
decompression
ease
amusement
relaxation
scenery
stroll
landmark
leisure time
crawl
trek
recreational
navigate
breathing space
repose
top up
leisure wear
seasonal
resilient
track
garden
pursuit
blow off steam
interact
active
botanic garden

Acience and technology
automative
be subjected to
beg the question
boost
capability
computer literate
contagious
conventional
cutting-edge
effcient
enforcement
ensure
functional
gadget
genetically modified
harness
implementation
indispensable
infrastructure
initiative
innovation
investigate
laborious
liability
mobility
modelling
neuroscience
obsolete
peripheral
placebo effect
plausible
prompt
radical
redundant
regulatory
robust
scheme
stagger
strive
surveillance
syndrome
technophobe
tech-savvy
telepresence
thrive
transition
user-friendly



Health
addict
additive
administer
allergy
antibiotics
appetite
asthma
balanced diet
bruise
chronic
deterioration
diabetes
dietary
eating disorder
epidemic
exertion
fatal
fatigue
flu/influenze
food poisoning
healty pleasure
hereditary
hospitalize/hospitalise
hygiene
immune
impediment
infect
injection
insomnia
medical check-upmental health
nutrient
obesity
overweight
painkiller
pandemic
pathogen
pill
prescription
pull a muscle
remedy
sanitiation
surgery 
symptom
syringe
vaccination
worn outperform
worsen


Lifestyle
attitude
binge drinking
continental
cost of living
creative
daily routine
desire
do ~for a living
extrovert
fulfilment
health-conscious
hit the gym
insightintense
lean
lifelong ambition
live life to its fullest
make a choice
materialistic
motivate
optimistic
outdoor
outfit
outlook
pastime
persist
personality
pessimistic
priority
quality of liferealist
recreational
regret
risk taker
sedentary
self-expressionsense
social distancing
social gathering
standard of livingstimulating
strain
take part (in~)
think outside the box
thinly populated
unwind
upcoming
viral
walks of life
